Pizza,Username,TR ID,Credit Card Number,Order Description,Order Time,Credit Card Password
Margherita Pizza with Keci Peyniri,hakan,12345678901,0123456789123456,Margherita Pizza with Keci Peyniri,2023-03-13 14:31:15,1234
Pizza,Username,TR ID,Credit Card Number,Order Description,Order Time,Credit Card Password
Dominos Pizza with Keci Peyniri,hakan,01234567891,0123456789123456,Dominos Pizza with Keci Peyniri,2023-03-13 14:34:28,1234
Pizza,Username,TR ID,Credit Card Number,Order Description,Order Time,Credit Card Password
Turk Pizzasi with Mantar,derya,01234567891,0123456789123456,Turk Pizzasi with Mantar,2023-03-13 14:39:05,1236
Pizza,Username,TR ID,Credit Card Number,Order Description,Order Time,Credit Card Password
Dominos Pizza with misir,ali,01234567890,0123456789012345,Dominos Pizza with misir,2023-03-13 15:39:53,0123
Pizza,Username,TR ID,Credit Card Number,Order Description,Order Time,Credit Card Password
Klasik Pizza with misir,kaðan,78965412302,9874563210159753,Klasik Pizza with misir,2023-03-13 16:00:09,1597
